QUD	RT	item_id	cumulative_score	difficulty	answer_response	new_options	options	paragraph	question	source	startDate	startTime	trial_number	trial_type	submission_ind
Question 11/36	28484	os4_4_3_Adv	10	Adv	0	3|2|0|1	Have drones fly shorter distances|Require drones to report their status every 15 minutes|Prevent drones from delivering packages from vehicles|Inspect drones more frequently	"Huber said about Amazon: ""I have heard them say that many packages are lightweight - a drone can carry a kilogram for 15 minutes. If you have a vehicle that can go into a neighborhood, it can deliver from that base. You need a 15-minute distance and typical off-the-shelf drones have about that distance."" It's one way, he said, of making sure the surrounding population is relatively safe. ""The larger the distance the drone travels, the more dangerous it becomes."" Of course, safety remains a major concern - Singh points out that, for a commercial aircraft to be considered skyworthy, it has to prove a rate of one serious failure every one million hours. Drones, he said, are ""one or two orders of magnitude away"" from that benchmark. ""The Reaper drone has one failure in 10,000 hours,"" Singh said. An oil leak, by the way, doesn't count as catastrophic failure - something has to fall out of the sky."	What is one way to increase drone safety, according to Huber?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	11	reading_comprehension	1
Question 12/36	50318	r3908_2_Middle	11	Middle	0	3|2|0|1	Every child could have a toy and they played together.|They could have more toys than other children.|Some children were left out with no toys.|They had more friends to play with.	"When you were very young, you liked to play with your friends. Did you find that playtime was always more fun when everyone shared the toys? Everyone got a turn. No one was left out.\nThat's a life lesson that changes as you get older. As you grow up, you begin to understand that others have less than you do - in China and in the world. And that those of us who ""have"" things should help those who "" have less"" than we do. The idea of sharing _ \nAt your age, you can ""share"" with people in need in three ways.\n1. You can give them a part of your money. Many adults do that regularly.\n2. You can share items you no longer use, such as clothing and toys. You can pass them onto others who cannot buy them.\n3. You can help people by giving your time and your energy.\nThe last one is also called volunteering. Volunteering is about giving your time to take part in activities that will help others. Every year, many thousands of volunteers in the world give the most valuable gift of all. They give their time. They give their talent. They give of themselves. And they are enjoying it. Volunteering isn't just about work. It's about fun too.\n,."	What do children think was more fun when they played with friends?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	12	reading_comprehension	1
Question 13/36	21414	os12_1_3_Ele	12	Ele	0	1|0|2|3	Because he found droppings|Because he spotted a wolf|Because he learned that the number of wolves in Poland doubled in 15 years|Because he managed to escape a wolf	"Robert Myslajek stops. Between two paw prints on a mountain path, the scientist finds what he is looking for. ""Droppings!"" he says happily. It is so rare to see a wolf that seeing droppings makes it a good day. But it is getting easier to see a wolf. There are now about 1,500 wolves in Poland. The number has doubled in 15 years. The wolf, the brown bear, the lynx and the wolverine are Europe's last large predator carnivores. Scientists from Britain, Germany and the Netherlands are coming here to find out how Poland has saved wolves who have a bad reputation even in fairy tales."	"Why was it ""a good day"" for Myslajek?"	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	13	reading_comprehension	1
Question 14/36	53457	r7021_3_High	13	High	0	3|1|0|2	begin your preparation as early as possible|pay more attention to grades than to extracurricular activities|focus on only one scholarship application|get as much work experience as possible	Scholarship Application Tips in 2014 for college students\n*Before you apply\n1. Work hard to get good grades. Don't sweat about one bad grade, but always strive to do your best.\n2. Get involved, and stay involved, in extracurricular activities. Sports, clubs, drama, bands and orchestras-these often count toward a student's overall scholarship application evaluation. The same goes for paid (or unpaid) work experience.\n3. Begin your scholarship research early-by your sophomore or junior year of high school, if possible. Make special note of application deadlines, as they can vary from late summer to late spring.\n4. Apply for as many scholarships as you are eligible for-several smaller scholarships can add up to a lot of money.\n*During the application process\n1. Read the supplementary materials that come with scholarship application forms to better understand the program's focus (community service, subject interest). Try to answer the questions with the focus area in mind.\n2. Answer questions as they are asked. Don't go off the topic.\n3. If there is a financial component to the application, make sure you get accurate and complete information from all appropriate sources to ensure your eligibility.\n4. Take your time. Write down everything you can think of for each question, then set the application aside for a day so you can look everything over again before you send it off.\n5. Don't wait until the last minute to complete your application, especially if you are applying online. Computer systems can get clogged with the large volume of applicants hoping to submit their qualifications during the last few days and hours before a deadline.\n6. If a third party has to complete part of your application, such as providing a letter of recommendation, make sure you ask them early on and remind them as often as necessary to ensure they provide you with the necessary materials.\n7. Last but not least, review your application with your parents to make sure you haven't left out any important details.\nGood luck to the students applying for the 2014 scholarship programs!	Before you apply for a scholarship, it's best to  _  .	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	14	reading_comprehension	1
Question 15/36	29420	os11_3_2_Adv	14	Adv	0	1|2|3|0	She can usually keep the items she purchases|She is among the first to get to see new product ranges |She is paid between PS5 and PS20 per hour|She gets coupons for online shopping	"Shoppers are usually repaid any money they spend in the stores. ""I'm typically given between PS5 and PS20 to spend at each store, to assess the service I receive at the counter,"" says Laura, a 50-year-old mystery shopper from Devon, who has been paid to visit around 7,000 shops since 2001. The purchase usually has to be related to a service or a type of product that the retailer wants her to check. ""I'm always given a scenario, such as buying something from a specific department or a new product range, but, within that framework, I can often buy whatever I want - and keep it."""	What is one perk of Laura's job?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	15	reading_comprehension	1
Question 16/36	45597	r10065_1_High	15	High	3	1|0|2|3	they have different cultural backgrounds|they are short of skills and abilities|they often perform badly in college|they know nothing about American history	The SAT is one of two major tests for the entrance to American colleges and universities. The other test is called the ACT. More than 2 million students take the SAT yearly, including about 100,000 foreign students. The organization of the SAT will change the entrance test in 2016. The College Board announced that the new SAT will no longer test students on rarely used words. But it will include passages from American historical documents or from writings on freedom and human rights.\nThe College Board says words on the new test will be related to usage. Students will be asked to tell the meaning of words according to the context of the reading passages. Nigerian student Peace Umoru is in her first year at Howard University. She says the rarely used words are the hardest part for international students. The new test will be easier because of the reform.\nEddie West is with the College Board. He says the new test will better predict a student's performance in college. The changes are moving the test in a positive direction. The new SAT pays more attention to skills and abilities that students need to succeed. The addition of material about American historical documents could make the test harder for international students. After all, they live in different countries with different cultures. But it's a good chance for them to understand the Declaration of Independence or Martin Luther King's work, or anything else that might be tested.\nStudents from other countries, particularly those who did not grow up learning English, may feel it is more difficult. For them, the test is in a foreign language. But the College Board says it has formed a free, online educational service. Khan Academy will provide preparation material linked to the newly designed SAT.	The new SAT could be more difficult for international students because  _  .	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	16	reading_comprehension	1
Question 17/36	63503	r13592_3_High	15	High	0	0|1|2|3	15-Minute Reading Challenge|Tips for Reading English Books|Having a Coffee While You Read|Ways to Improve Reading Skills	My challenge for you is this: to read a book for 15 minutes every single day for a month.\nLet me explain a bit, by telling you where the challenge came from. I have many things in common with my dad, like music taste and sense of humor, but sadly reading isn't one of them. I can happily spend a whole day with a book, but my dad can't read a book for longer than about 5 minutes. He reads emails, websites and papers for work, but not books. He's busy so I think sitting down to read for just 15 minutes a day is a good way to relax and to introduce him to reading.\nMy dad is by no means the only person who avoids books. I know lots of people would rather relax on their computers or in front of the TV. Everyone is different and has their own interests, but I think there're lots of benefits to reading, which screen-based activities don't have.\nFirstly, it's better for your eyes. Looking at screens can be very stressful for you eye muscles, and clearly you should avoid looking at screens for an hour before bed, to get a good night's sleep.\nOne thing I personally love reading, is being transported to another world--I would often forget the time or things around me! Reading is a great way to switch off before you go to bed, because you think more about the world of the book, rather than the real world, so you can truly relax. I know you can be transported to a different world in a film or a TV show, but I think books do _ better.\nI also enjoy hearing what people are doing and finding out what they think. Reading gives me the chance to get to know hundreds of new people! It also teaches you to see things from other people's point of view, and understand other people's decisions or opinions. With a book, you can hear everything a character is thinking or feeling--you really can be inside someone else's head!\nSo give it a go! Take 15 minutes when you're waking up, going to bed, eating too much, or having a coffee. If you read a lot, why not try 15 minutes of an English book, or pass the challenge on to someone else? Good luck, and happy reading!	Which of the following can be the best title for the text?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	17	reading_comprehension	1
Question 18/36	61468	r20723_2_High	16	High	0	3|0|1|2	somewhat interact with the students|ask and answer questions in turns|provide feedback to students in less time|make different facial expressions	"Teachers and textbooks  _ -- your future could be under threat from a quickly developing and very smart technology.\n     University of California researchers led by Jacob White hill recently programmed teaching robots to react to facial expression. Whitehill's achievement marked a major step forward in the way people could one day learn by establishing facial expression recognition in robot teachers.\n     The teaching robots or, Intelligent Tutoring Systems (ITS) are computer systems that provide personalized instruction and feedback to students without human intervention. The facial expression recognition allows a computer to react according to expressions a user makes.\n     He said that the system was an important development in improving learning systems.\n""Classical ITS typically have a somewhat rigid architecture of 'first I ask a questions then I wait for a responses then I talk some more; then I wait for another response.' Facial expression recognition, I believe, will allow the feedback from student to teacher to happen while the robot teacher is talking,"" Whitehill said.\n     Experts agree the latest developments in ITS open new possibilities for how people could learn. University of Memphis researcher, Dr Andrew Olney, who recently received a US$ I. 3 million grant to develop an ITS, said the key to future learning will be enabling interactive , one-on-one instruction.\n     ""The technology can benefit these more advanced learning scenarios ,"" he said.\n     Although robot teachers of varying abilities have existed for more than 30 years, ITS developments such as Whitehill's and Olney's are pushing beliefs that robots could soon be as effective as-- if not more effective than human teachers.\n     ""The ITS which have been developed are already better teachers than people who have no experience,"" Olney said.\n     So, what is the future for today's teachers, classrooms, and textbooks?"	Compared with classical ITS, developed ITS can	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	18	reading_comprehension	1
Question 19/36	27859	r4282_3_Middle	17	Middle	0	1|3|0|2	China and South Korea|the UK and the US|China and America|South Korea and Japan	"Have you heard of EXO? EXO is a Chinese-South Korean boy band with 12 people. They are in two teams: EXO-M and EXO-K. There's even a ""competition"" between the two teams. ""I will not call it a competition. It's always in good fun,"" said Sehun of EXO-K.\nHere comes the new superstar! His name is Austin Mahone. The 18-year-old is a pop singer in the US. His success story is just like that of Justin Bieber. Last month Mahone's new album The Secret came out. Maybe it's a good chance for us to know more about him and his music.\nForget about Super Junior. We now have TFBOYS. TFBOYS is a popular Chinese boy band made up of three members. They are Wang Junkai, 14, Wang Yuan, 13, and Yi Yangqianxi, 13. The boys are all junior middle school students. Their songs are full of positive energy  . In their latest album, they call on teenagers not to be afraid of dreaming big."	Members of EXO come from   _  .	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	19	reading_comprehension	1
Question 20/36	66397	r17934_3_High	18	High	0	3|2|0|1	Christopher Hirata|William|Terence Tao|Albert Einstein	"Born in America in 1898, William was an extraordinary boy, gifted with an amazing IQ between 250 and 300. The genius went to a grammar school when he was only 6 years old and graduated just within 7 months. At the age of 11, he became the youngest student of the Harvard University. He graduated with high scores at the age of 16 and entered Harvard Law School at 18.\n    Gifted with an amazing IQ between 220 and 230, Terence Tao makes it to this list of the people with the highest IQ in the world. Born in Adelaide, Australia in 1975, this genius first displayed his incredible intelligence at a mere age of 2, when he managed to solve basic arithmetic questions on his own. At the age of 16, he graduated with both Master's and Bachelor's degrees at the Flinders University. He has been considered as ''Mr. Fix it "" by Charles Fefferman, who is a professor of Mathematics at Princeton University, and many other mathematicians want to interest him in their problems.\n    This 31-year-old Japanese-American astrophysicist lands him third in this list. At the age of 12, Christopher Hirata already worked on college-level courses, around the time most of us were just in the 7th grade. At the age of 13, this gifted kid became the youngest American to have ever won the gold medal in the International physics Olympiad.\nAt the age of 16, he was already working with NASA on its project to conquer planet Mars. After he was awarded the Ph.D. at Princeton University, he went back to California Institute of Technology.\n    The next person with very high IQ is Albert Einstein. With an IQ between 160 and 190, Albert Einstein is the genius behind the theory of relativity, which has had great impact on the world of science. He possessed such an amazing ability that after his death, researchers were eager to preserve and make research on his brain in search for clues to his exceptional brilliance, which to this day, has remained a mystery. \nks5u"	Who once worked on the project to conquer planet Mars?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	20	reading_comprehension	1
Question 21/36	59038	r1701_3_Middle	19	Middle	0	2|1|3|0	The writer was too busy that weekend to go find the dog's owner.|German was fond of living with the family.|The writer felt safe and protected with German around.|The dog stayed until the writer was strong enough to go on alone.	"After my husband died, my world crashed around me. My six children were 10, nine, eight, six, three and 18 months, and I was overwhelmed with the responsibilities of earning a living, caring for the children and simply _ .\nI was fortunate to find a wonderful housekeeper to care for the children during the week, but from Friday nights to Monday mornings, the children and I were alone, and frankly I was uneasy. Every unusual noise or any late-night phone call filled me with fear. I felt incredibly alone.\nOne Friday evening I came home from work to find a big beautiful German shepherd  on our doorstep. It was obvious he wanted to make the house his home. The children took an instant liking to ""German"" and begged me to let him in. I agreed to let him sleep in the basement until the next day. That night I slept peacefully for the first time in many weeks.\nThe following morning we made phone calls and checked lost-and-found ads for German's owner, but with no results. Saturday night he was still with us.\nOn Sunday I had planned to take the children on a picnic. Since I thought it best to leave German behind in case his owner came by, we drove off without him. When we stopped to get gas at a local station, we were amazed to see German racing to the gas station after us. He stayed again Sunday night.\nMonday morning I let him out for a run while the children got ready for school. He didn't come back. We thought we'd never see him again. On Friday evening, German was back again. We took him in, and again he stayed until Monday morning, when our housekeeper arrived. It went like this for almost 10 months. We looked forward to his coming each Monday morning he left home.\nEach week, between German's visits, I grew a little braver, but every weekend I enjoyed his company. Then one Monday morning we patted his head and let him out for what turned out to be the last time. He never came back."	Which of the following is Wrong according to the article?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	21	reading_comprehension	1
Question 22/36	30324	os6_3_3_Adv	20	Adv	0	3|1|0|2	They had access to reindeer|They did not wear clothing|Their culture valued preserving bodies in caves|They hunted with sophisticated weapons	The Spanish team started their work after a group of cavers stumbled upon two skeletons in a deep and complex cave system high up in the Cantabrian Mountains of northwest Spain in 2006. The human remains, which belonged to two men in their early 30s, had been extremely well preserved by the cool environment of the cave. Carbon dating put the remains at around 7,000 years old, before farming had swept into Europe from the Middle East. The timing fitted with ancient artifacts found at the site, including perforated reindeer teeth that were strung and hung from the people's clothing.	What can be inferred about the Mesolithic cavemen based on items found in the cave?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	22	reading_comprehension	1
Question 23/36	24147	r5870_3_Middle	21	Middle	0	0|1|3|2	It's about No Housework Day.|It's about the daily housework.|It's about our duty and right.|It's about some national holiday.	Are you always unwilling to do housework and cleaning for no reason? Well, you will be happy today. Today is No Housework Day. It's time to forget about housework and be relaxed.\nNo Housework Day is always on April 7th. It is your chance to do anything, except housework. Better still, have someone else do housework for a day. Housework is a daily and endless job and most people think it's boring to do housework. I have many friends and their wish is to stay away from housework. In fact, their wish can never come true.\nDo you know how to celebrate No Housework Day? Well , there are two different ways.\nIf you usually do the housework around the house, forget it on this day. Instead, kick back and enjoy the day. Relax and do anything, except housework.\nIf you never do housework, you can do it for your family. It gives your parents a break from the housework. And, you just might get a chance to know how much housework your parents need to do every day.	What's the main idea of the passage?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	23	reading_comprehension	1
Question 24/36	19831	os16_3_3_Ele	22	Ele	0	3|1|2|0	That Vienna is safer than other places|That Vienna is the safest city in the world|That US cities are not very safe|That nothing is more important than safety	"US cities do badly in the study, mostly because of worries about personal safety and crime. The US city in top position is San Francisco, in 28th position; Boston is 34th. ""You don't realize how safe Vienna is until you go abroad,"" said Hartlauer. ""We also have terrific public transport - the underground trains run 24 hours at weekends and it only costs EUR1 per trip."""	What did going abroad make Hartlauer realize?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	24	reading_comprehension	1
Question 25/36	52653	r2765_3_High	23	High	0	3|2|1|0	solid, liquid and gas|solid, vapour, snow|drops of water, blocks of ice and crystals of water|ice, snow and air	Water is very important to living things. Without water there can be no life on the earth. All animals and plants need water. Man also needs water. We need water to drink, to cook our food and to clean ourselves. Water is needed in offices, factories and schools. Water is needed everywhere.\nThere is water in seas, rivers and lakes. Water is found almost everywhere. Even in the desert part of the world, there is some water in the air. You can not see or feel it when it is a part of the air. The water in the seas, rivers and lakes is a liquid, the water in the air is a gas, and we call it water vapour  .\nClouds are made of water. They may be made of very small drops of water. They may also be made of snow crystals . Snow crystals are very very small crystals of ice. Ice is frozen water. It is a solid. There can be snow and ice everywhere in winter.\nWater may be a solid or a liquid or a gas. When it is a solid, it may be as hard as a stone. When it is a liquid, you can drink it. When it is a gas, you can not see or feel it.	Water has three states . They are  _	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	25	reading_comprehension	1
Question 26/36	35412	r1446_3_High	24	High	0	3|0|2|1	The care and proper selection of dogs for families.|Different breeds of dogs.|Responsibility for seeing that dogs are properly cared for.|Different kinds of books about dogs.	Is your family interested in buying a dog? A dog can be a pleasant companion to your family, but if you choose the wrong kind of dog , you will have a lot of troubles.\nFamilies should sit down and discuss the possible problems before buying a dog. Even if the children in your family are the ones who want the dog, the parents are the ones who are really responsible for seeing that the animal is properly cared for. If you don't know much about dogs, it is a good idea to go to the library for books about different kinds of dogs, and books about how to train a young dog. In reading about the different breeds you should know that a dog described as very alert may be too active. When a book describes a dog as an excellent hunting dog, it probably means that the dog won't be happy living in a small house. Dog breeds vary in popularity as the years go by. One of the most popular dogs these days is the German shepherd. This is because it provides protection as well as companionship. The family should be warned that these dogs grow up to be very big, and may be too powerful for children to control. If space is limited, a toy dog may be a good choice. These dogs are very small and easy to train. They don't need to be walked daily, since they can exercise in the home.	Which is the best topic of the passage?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	26	reading_comprehension	1
Question 27/36	21509	os6_2_2_Ele	25	Ele	0	0|3|1|2	She found them to be surprising|They supported her previous ideas|They show how humans developed better immune systems to deal with infections from farm animals|They describe the appearance of the Mesolithic man with unprecedented accuracy	"The invention of farming brought humans and animals much closer and humans probably developed stronger immune systems to fight infections from the animals. But the change to humans' immune systems may not be as big as scientists thought - tests on the hunter-gatherer's DNA found that he already had genes that made his immune system strong. Some of these genes still exist in modern Europeans today. ""Before we started this work, I had some ideas of what we were going to find,"" said Carles Lalueza-Fox, who led the study at the Institute of Evolutionary Biology in Barcelona. ""Most of those ideas turned out to be completely wrong."""	What does Lalueza-Fox say about the study results?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	27	reading_comprehension	1
